026;072;026072;TV;SINISTRA PIAVE;San Fior;-;Via Marco Polo 29;San Fior;www.savnoservizi.it;-;
023;025;023025;VR;VERONA SUD;Cerea;-;Zona Fontanelle - Via Sangallo;Cerea;www.cerea.net;-;
024;016;024016;VI;VICENZA;Bressanvido;-;Z.I. Via S. Benedetto;Bressanvido;www.comune.bressanvido.vi.it;-;
025;071;025071;BL;BELLUNO;Longarone;-;Z.I. Loc. Villanova;Longarone;www.ecomontsrl.it;-;
025;035;025035;BL;BELLUNO;Ospitale di Cadore;-;Z.I. Loc. Villanova;Longarone;www.ecomontsrl.it;-;
025;057;025057;BL;BELLUNO;Soverzene;-;Z.I. Loc. Villanova;Longarone;www.ecomontsrl.it;-;
025;005;025005;BL;BELLUNO;Auronzo di Cadore;-;Z.I. Cimagogna  - Vallesella;Auronzo di Cadore;www.ecomontsrl.it;-;
025;008;025008;BL;BELLUNO;Calalzo di Cadore;-;Z.I. Cimagogna  - Vallesella;Auronzo di Cadore;www.ecomontsrl.it;-;
025;018;025018;BL;BELLUNO;Domegge di Cadore;-;Z.I. Cimagogna  - Vallesella;Auronzo di Cadore;www.ecomontsrl.it;-;
023;031;023031;VR;VERONA NORD;Dolce';-;Volargne;Dolce';www.consorziovr2.it;-;
026;023;026023;TV;DESTRA PIAVE;Cornuda;-;Via Piave;Cornuda;www.contarina.it;-;
027;002;027002;VE;VENEZIA;Campagna Lupia;-;Viale Venezia 3;Mirano ;www.gruppoveritas.it;-;
027;003;027003;VE;VENEZIA;Campolongo Maggiore;-;Viale Venezia 3;Mirano ;www.gruppoveritas.it;-;
027;004;027004;VE;VENEZIA;Camponogara;-;Viale Venezia 3;Mirano ;www.gruppoveritas.it;-;
027;012;027012;VE;VENEZIA;Dolo;-;Viale Venezia 3;Mirano ;www.gruppoveritas.it;-;
027;014;027014;VE;VENEZIA;Fiesso d'Artico;-;Viale Venezia 3;Mirano ;www.gruppoveritas.it;-;
027;017;027017;VE;VENEZIA;Fosso';-;Viale Venezia 3;Mirano ;www.gruppoveritas.it;-;
027;023;027023;VE;VENEZIA;Mira;-;Viale Venezia 3;Mirano ;www.gruppoveritas.it;-;
027;024;027024;VE;VENEZIA;Mirano;-;Viale Venezia 3;Mirano ;www.gruppoveritas.it;-;
027;039;027039;VE;VENEZIA;Stra;-;Viale Venezia 3;Mirano ;www.gruppoveritas.it;-;
023;027;023027;VR;VERONA SUD;Cologna Veneta;-;Viale Roma;Cologna Veneta;www.comune.cologna-veneta.vr.it;-;
029;001;029001;RO;ROVIGO;Adria;-;Viale Risorgimento 60;Adria ;www.ecoambienterovigo.i;-;
029;034;029034;RO;ROVIGO;Papozze;Area mercato;-;-;www.ecoambienterovigo.i;-;
029;051;029051;RO;ROVIGO;Villanova Marchesana;Area mercato;-;-;www.ecoambienterovigo.i;-;
023;048;023048;VR;VERONA SUD;Minerbe;-;Viale dell'Agricoltura;Minerbe;www.comune.minerbe.vr.it;-;
029;003;029003;RO;ROVIGO;Arqua' Polesine;Area mercato;-;-;www.ecoambienterovigo.i;-;
029;007;029007;RO;ROVIGO;Bosaro;-;-;-;www.ecoambienterovigo.i;-;
029;015;029015;RO;ROVIGO;Ceregnano;Area mercato;-;-;www.ecoambienterovigo.i;-;
029;023;029023;RO;ROVIGO;Frassinelle Polesine;Area mercato;-;-;www.ecoambienterovigo.i;-;
029;026;029026;RO;ROVIGO;Gavello;Area mercato;-;-;www.ecoambienterovigo.i;-;
